Farmer Code,Date,Shift,Cow/Buff,Qty,Rate,Amount,Fat,KiloFat = Qty * Fat,CanNo,EntryDt,c_KiloFat,c_KiloQty
120,05-04-2017 00:00,E,C,2.52,27.49,69.27,4.2,10.58,2,05-04-2017 21:20,0.10584,2.52
82,05-04-2017 00:00,E,C,3.72,27.21,101.22,4.1,15.25,2,05-04-2017 21:22,0.15252,3.72
76,05-04-2017 00:00,E,C,12.06,28.88,348.29,4.7,56.68,3,05-04-2017 21:25,0.56682,12.06
76,05-04-2017 00:00,E,C,0.98,28.88,28.3,4.7,4.61,3,05-04-2017 21:26,0.04606,0.98
71,05-04-2017 00:00,E,C,1.76,31.38,55.23,5.6,9.86,3,05-04-2017 21:26,0.09856,1.76
116,05-04-2017 00:00,E,B,1.46,35.91,52.43,6.3,9.2,1,05-04-2017 21:27,0.09198,1.46
2,05-04-2017 00:00,E,C,2.26,28.6,64.64,4.6,10.4,3,05-04-2017 21:32,0.10396,2.26
77,05-04-2017 00:00,E,C,3.66,26.66,97.58,3.9,14.27,3,05-04-2017 21:33,0.14274,3.66
45,05-04-2017 00:00,E,C,1.14,31.1,35.45,5.5,6.27,3,05-04-2017 21:34,0.0627,1.14
14,05-04-2017 00:00,E,B,5.92,36.48,215.96,6.4,37.89,1,05-04-2017 21:35,0.37888,5.92
167,05-04-2017 00:00,E,C,18.08,28.88,522.15,4.7,84.98,3,05-04-2017 21:35,0.84976,18.08
195,05-04-2017 00:00,E,C,15.62,29.16,455.48,4.8,74.98,4,05-04-2017 21:38,0.74976,15.62
108,05-04-2017 00:00,E,C,3.22,28.6,92.09,4.6,14.81,4,05-04-2017 21:39,0.14812,3.22
17,05-04-2017 00:00,E,C,7.96,30.82,245.33,5.4,42.98,4,05-04-2017 21:40,0.42984,7.96
112,05-04-2017 00:00,E,C,7.34,28.88,211.98,4.7,34.5,4,05-04-2017 21:41,0.34498,7.34
205,05-04-2017 00:00,E,B,6.28,34.77,218.36,6.1,38.31,1,05-04-2017 21:46,0.38308,6.28
141,05-04-2017 00:00,E,B,4.18,38.76,162.02,6.8,28.42,1,05-04-2017 21:47,0.28424,4.18
50,05-04-2017 00:00,E,C,14.02,28.05,393.26,4.4,61.69,4,05-04-2017 21:50,0.61688,14.02
52,05-04-2017 00:00,E,C,3.56,26.66,94.91,3.9,13.88,5,05-04-2017 21:53,0.13884,3.56
114,05-04-2017 00:00,E,B,5.76,35.34,203.56,6.2,35.71,1,05-04-2017 21:54,0.35712,5.76
66,05-04-2017 00:00,E,C,13.12,26.94,353.45,4,52.48,5,05-04-2017 21:57,0.5248,13.12
59,05-04-2017 00:00,E,C,7.18,29.44,211.38,4.9,35.18,5,05-04-2017 22:01,0.35182,7.18
169,05-04-2017 00:00,E,C,15.04,28.6,430.14,4.6,69.18,5,05-04-2017 22:04,0.69184,15.04
